_date,total_views,unique_views
2021-06-16,1,1
2021-06-17,18,9
2021-06-18,26,14
2021-06-19,18,3
2021-06-20,6,2
2021-06-21,63,9
2021-06-22,76,12
2021-06-23,103,8
2021-06-24,226,18
2021-06-25,185,9
2021-06-26,70,7
2021-06-27,15,2
2021-06-28,46,8
2021-06-29,67,14
2021-06-30,104,21
2021-07-01,64,11
2021-07-02,102,13
2021-07-03,3,2
2021-07-05,28,9
2021-07-06,67,8
2021-07-07,149,17
2021-07-08,49,16
2021-07-09,137,14
2021-07-10,3,2
2021-07-11,9,2
2021-07-12,90,20
2021-07-13,63,11
2021-07-14,142,14
2021-07-15,257,10
2021-07-16,165,11
2021-07-17,6,3
2021-07-18,6,2
2021-07-19,33,11
